"","Castanhal","Ano","total_frutos"
"1","Coletivo",2018,11223
"2","Coletivo",2019,10679
"3","Coletivo",2020,11118
"4","Coletivo",2021,7370
"5","Davi",2018,2827
"6","Davi",2019,2380
"7","Davi",2020,2373
"8","Davi",2021,2908
"9","Dimar",2019,1346
"10","Dimar",2020,1474
"11","Dimar",2021,1192
"12","Irmaos Gamas",2019,2196
"13","Irmaos Gamas",2020,2059
"14","Irmaos Gamas",2021,2099
"15","Mariazinha",2018,3504
"16","Mariazinha",2019,2385
"17","Mariazinha",2020,3194
"18","Mariazinha",2021,2608
"19","Marizan",2019,1468
"20","Marizan",2020,1019
"21","Marizan",2021,905
"22","Zequinha",2019,5601
"23","Zequinha",2020,7594
"24","Zequinha",2021,5078
"25","Zirmao",2018,5152
"26","Zirmao",2019,4429
"27","Zirmao",2020,4523
"28","Zirmao",2021,3961
"29","Zirmao 2",2019,3866
"30","Zirmao 2",2020,3891
"31","Zirmao 2",2021,4357
